Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2016R607,2016,R6,The Gabba,14646,Brisbane Lions,Sydney,-27.4858,153.0381
2016R608,2016,R6,Melbourne Cricket Ground,43827,Carlton,Essendon,-37.82,144.9834
2016R701,2016,R7,Melbourne Cricket Ground,49678,Richmond,Hawthorn,-37.82,144.9834
2016R705,2016,R7,Heritage Bank Stadium,12780,Gold Coast,Melbourne,-28.0063,153.3671
2016R706,2016,R7,Marvel Stadium,26984,Western Bulldogs,Adelaide,-37.8166,144.9475
2016R707,2016,R7,Domain Stadium,28201,Fremantle,Greater Western Sydney,-31.94,115.825
2016R703,2016,R7,GMHBA Stadium,25429,Geelong,West Coast,-38.158,144.3547
2016R702,2016,R7,Melbourne Cricket Ground,60222,Collingwood,Carlton,-37.82,144.9834
2016R704,2016,R7,Sydney Cricket Ground,29527,Sydney,Essendon,-33.8915,151.2249
2016R709,2016,R7,Adelaide Oval,31544,Port Adelaide,Brisbane Lions,-34.9155,138.5961
2016R708,2016,R7,Marvel Stadium,27254,St Kilda,North Melbourne,-37.8166,144.9475
2016R801,2016,R8,Adelaide Oval,53141,Adelaide,Geelong,-34.9155,138.5961
2016R802,2016,R8,Marvel Stadium,30321,Essendon,North Melbourne,-37.8166,144.9475
2016R805,2016,R8,The Gabba,24552,Brisbane Lions,Collingwood,-27.4858,153.0381
2016R806,2016,R8,Melbourne Cricket Ground,36014,Richmond,Sydney,-37.82,144.9834
2016R804,2016,R8,GIANTS Stadium,8308,Greater Western Sydney,Gold Coast,-33.8942,151.2293
2016R803,2016,R8,University of Tasmania Stadium,12012,Hawthorn,Fremantle,-41.426,147.139
2016R807,2016,R8,Marvel Stadium,26924,Carlton,Port Adelaide,-37.8166,144.9475
2016R809,2016,R8,Domain Stadium,36140,West Coast,St Kilda,-31.94,115.825
2016R808,2016,R8,Melbourne Cricket Ground,39921,Melbourne,Western Bulldogs,-37.82,144.9834
2016R901,2016,R9,Melbourne Cricket Ground,61552,Hawthorn,Sydney,-37.82,144.9834
2016R904,2016,R9,Adelaide Oval,38695,Port Adelaide,West Coast,-34.9155,138.5961
2016R903,2016,R9,Heritage Bank Stadium,11692,Gold Coast,Adelaide,-28.0063,153.3671
2016R905,2016,R9,Marvel Stadium,38419,North Melbourne,Carlton,-37.8166,144.9475
2016R906,2016,R9,Domain Stadium,20184,Fremantle,Richmond,-31.94,115.825
2016R902,2016,R9,Melbourne Cricket Ground,59864,Collingwood,Geelong,-37.82,144.9834
2016R909,2016,R9,Marvel Stadium,29026,St Kilda,Essendon,-37.8166,144.9475
2016R907,2016,R9,Melbourne Cricket Ground,26892,Melbourne,Brisbane Lions,-37.82,144.9834
2016R908,2016,R9,GIANTS Stadium,9612,Greater Western Sydney,Western Bulldogs,-33.8942,151.2293
2016R1001,2016,R10,Sydney Cricket Ground,38498,Sydney,North Melbourne,-33.8915,151.2249
2016R1006,2016,R10,Adelaide Oval,46737,Adelaide,Greater Western Sydney,-34.9155,138.5961
2016R1004,2016,R10,Marvel Stadium,17927,St Kilda,Fremantle,-37.8166,144.9475
2016R1002,2016,R10,The Gabba,23691,Brisbane Lions,Hawthorn,-27.4858,153.0381
2016R1005,2016,R10,Melbourne Cricket Ground,56948,Essendon,Richmond,-37.82,144.9834
2016R1003,2016,R10,TIO Traeger Park,5146,Melbourne,Port Adelaide,-23.7091,133.875
2016R1007,2016,R10,Marvel Stadium,33535,Carlton,Geelong,-37.8166,144.9475
2016R1009,2016,R10,Domain Stadium,34945,West Coast,Gold Coast,-31.94,115.825
2016R1008,2016,R10,Melbourne Cricket Ground,45078,Collingwood,Western Bulldogs,-37.82,144.9834
2016R1101,2016,R11,Blundstone Arena,17844,North Melbourne,Richmond,-42.8773,147.374
2016R1105,2016,R11,Heritage Bank Stadium,4368,Gold Coast,Sydney,-28.0063,153.3671
2016R1103,2016,R11,Marvel Stadium,30722,Carlton,Brisbane Lions,-37.8166,144.9475
2016R1106,2016,R11,Domain Stadium,31199,Fremantle,Essendon,-31.94,115.825
2016R1104,2016,R11,GMHBA Stadium,22007,Geelong,Greater Western Sydney,-38.158,144.3547
2016R1102,2016,R11,Melbourne Cricket Ground,41833,Hawthorn,Melbourne,-37.82,144.9834
2016R1109,2016,R11,Adelaide Oval,40896,Adelaide,St Kilda,-34.9155,138.5961
2016R1108,2016,R11,Marvel Stadium,28769,Western Bulldogs,West Coast,-37.8166,144.9475
2016R1107,2016,R11,Melbourne Cricket Ground,28567,Collingwood,Port Adelaide,-37.82,144.9834
2016R1201,2016,R12,Marvel Stadium,27567,Essendon,Hawthorn,-37.8166,144.9475
2016R1202,2016,R12,Adelaide Oval,40096,Port Adelaide,Western Bulldogs,-34.9155,138.5961
2016R1204,2016,R12,Marvel Stadium,44025,Geelong,North Melbourne,-37.8166,144.9475
2016R1205,2016,R12,Domain Stadium,37591,West Coast,Adelaide,-31.94,115.825
2016R1203,2016,R12,The Gabba,12899,Brisbane Lions,Fremantle,-27.4858,153.0381
2016R1206,2016,R12,Marvel Stadium,47945,St Kilda,Carlton,-37.8166,144.9475
2016R1207,2016,R12,Melbourne Cricket Ground,30448,Richmond,Gold Coast,-37.82,144.9834
2016R1208,2016,R12,GIANTS Stadium,21541,Greater Western Sydney,Sydney,-33.8942,151.2293
2016R1209,2016,R12,Melbourne Cricket Ground,60158,Melbourne,Collingwood,-37.82,144.9834
2016R1301,2016,R13,Marvel Stadium,37073,North Melbourne,Hawthorn,-37.8166,144.9475
2016R1304,2016,R13,Marvel Stadium,41725,Western Bulldogs,Geelong,-37.8166,144.9475
2016R1303,2016,R13,Domain Stadium,32448,Fremantle,Port Adelaide,-31.94,115.825
2016R1302,2016,R13,The Gabba,12777,Brisbane Lions,West Coast,-27.4858,153.0381
2016R1306,2016,R13,Marvel Stadium,14463,Essendon,Greater Western Sydney,-37.8166,144.9475
2016R1305,2016,R13,Sydney Cricket Ground,19086,Sydney,Melbourne,-33.8915,151.2249
2016R1401,2016,R14,Adelaide Oval,37890,Adelaide,North Melbourne,-34.9155,138.5961
2016R1402,2016,R14,Melbourne Cricket Ground,20320,Collingwood,Fremantle,-37.82,144.9834
2016R1405,2016,R14,Marvel Stadium,28745,St Kilda,Geelong,-37.8166,144.9475
2016R1403,2016,R14,Melbourne Cricket Ground,28883,Richmond,Brisbane Lions,-37.82,144.9834
2016R1404,2016,R14,GIANTS Stadium,10355,Greater Western Sydney,Carlton,-33.8942,151.2293
2016R1406,2016,R14,University of Tasmania Stadium,10121,Hawthorn,Gold Coast,-41.426,147.139
2016R1501,2016,R15,Domain Stadium,33117,West Coast,Essendon,-31.94,115.825
2016R1502,2016,R15,Adelaide Oval,37848,Port Adelaide,Richmond,-34.9155,138.5961
2016R1503,2016,R15,Heritage Bank Stadium,14071,Gold Coast,St Kilda,-28.0063,153.3671
2016R1505,2016,R15,Melbourne Cricket Ground,56157,Carlton,Collingwood,-37.82,144.9834
2016R1504,2016,R15,Sydney Cricket Ground,33386,Sydney,Western Bulldogs,-33.8915,151.2249
2016R1506,2016,R15,Melbourne Cricket Ground,29133,Melbourne,Adelaide,-37.82,144.9834
2016R1601,2016,R16,Adelaide Oval,43025,Port Adelaide,Hawthorn,-34.9155,138.5961
2016R1602,2016,R16,GMHBA Stadium,24339,Geelong,Sydney,-38.158,144.3547
2016R1604,2016,R16,Heritage Bank Stadium,13528,Gold Coast,Brisbane Lions,-28.0063,153.3671
2016R1605,2016,R16,Marvel Stadium,39679,Western Bulldogs,Richmond,-37.8166,144.9475
